,posicionamento,Regiao,ano,voto_count,Total,voto_norm
83,Centro,Sul,2006,1140,160606.0,0.7098115886081466
183,Centro-direita,Sul,2006,337,160606.0,0.20983026786047845
281,Centro-esquerda,Sul,2006,145,160606.0,0.09028305293700112
379,Direita,Sul,2006,703,160606.0,0.43771714630835706
479,Esquerda,Sul,2006,803,160606.0,0.4999813207476682
84,Centro,Sul,2007,670,160606.0,0.4171699687433844
184,Centro-direita,Sul,2007,575,160606.0,0.3580190030260389
380,Direita,Sul,2007,1253,160606.0,0.7801701057245681
480,Esquerda,Sul,2007,1073,160606.0,0.6680945917338083
85,Centro,Sul,2008,485,160606.0,0.30198124603065885
185,Centro-direita,Sul,2008,385,160606.0,0.23971707159134775
381,Direita,Sul,2008,1332,160606.0,0.8293588035316241
481,Esquerda,Sul,2008,1017,160606.0,0.633226654047794
86,Centro,Sul,2009,798,160606.0,0.49686811202570264
186,Centro-direita,Sul,2009,648,160606.0,0.403471850366736
282,Centro-esquerda,Sul,2009,358,160606.0,0.22290574449273376
382,Direita,Sul,2009,1882,160606.0,1.171811762947835
482,Esquerda,Sul,2009,1422,160606.0,0.8853965605270039
87,Centro,Sul,2010,385,160606.0,0.23971707159134775
187,Centro-direita,Sul,2010,360,160606.0,0.22415102798152
283,Centro-esquerda,Sul,2010,156,160606.0,0.09713211212532534
383,Direita,Sul,2010,869,160606.0,0.5410756758776136
483,Esquerda,Sul,2010,651,160606.0,0.40533977559991535
88,Centro,Sul,2011,1492,160606.0,0.9289814826345218
188,Centro-direita,Sul,2011,265,160606.0,0.16500006226417444
284,Centro-esquerda,Sul,2011,158,160606.0,0.09837739561411156
384,Direita,Sul,2011,939,160606.0,0.5846605979851314
484,Esquerda,Sul,2011,1070,160606.0,0.6662266665006289
89,Centro,Sul,2012,1161,160606.0,0.722887065240402
189,Centro-direita,Sul,2012,110,160606.0,0.06849059188324222
285,Centro-esquerda,Sul,2012,274,160606.0,0.17060383796371245
385,Direita,Sul,2012,747,160606.0,0.465113383061654
485,Esquerda,Sul,2012,762,160606.0,0.4744530092275506
90,Centro,Sul,2013,2291,160606.0,1.4264722364046176
190,Centro-direita,Sul,2013,195,160606.0,0.12141514015665666
286,Centro-esquerda,Sul,2013,752,160606.0,0.4682265917836196
386,Direita,Sul,2013,1438,160606.0,0.8953588284372936
486,Esquerda,Sul,2013,1463,160606.0,0.9109248720471216
91,Centro,Sul,2014,1347,160606.0,0.8386984296975206
191,Centro-direita,Sul,2014,82,160606.0,0.05105662304023511
287,Centro-esquerda,Sul,2014,441,160606.0,0.27458500927736196
387,Direita,Sul,2014,261,160606.0,0.162509495286602
487,Esquerda,Sul,2014,801,160606.0,0.498736037258882
92,Centro,Sul,2015,2796,160606.0,1.7409063173231387
192,Centro-direita,Sul,2015,213,160606.0,0.13262269155573267
288,Centro-esquerda,Sul,2015,2038,160606.0,1.2689438750731605
388,Direita,Sul,2015,501,160606.0,0.31194351394094866
488,Esquerda,Sul,2015,3329,160606.0,2.072774367084667
93,Centro,Sul,2016,1959,160606.0,1.2197551772661046
193,Centro-direita,Sul,2016,416,160606.0,0.25901896566753424
289,Centro-esquerda,Sul,2016,1582,160606.0,0.9850192396299017
389,Direita,Sul,2016,641,160606.0,0.3991133581559842
489,Esquerda,Sul,2016,1780,160606.0,1.1083023050197376
94,Centro,Sul,2017,4392,160606.0,2.734642541374544
194,Centro-direita,Sul,2017,524,160606.0,0.3262642740619902
290,Centro-esquerda,Sul,2017,1608,160606.0,1.0012079249841226
390,Direita,Sul,2017,910,160606.0,0.5666039873977311
490,Esquerda,Sul,2017,1823,160606.0,1.1350759000286414
95,Centro,Sul,2018,2539,160606.0,1.580887389014109
195,Centro-direita,Sul,2018,326,160606.0,0.2029812086721542
291,Centro-esquerda,Sul,2018,856,160606.0,0.5329813332005031
391,Direita,Sul,2018,539,160606.0,0.3356039002278869
491,Esquerda,Sul,2018,939,160606.0,0.5846605979851314
96,Centro,Sul,2019,3121,160606.0,1.9432648842508997
196,Centro-direita,Sul,2019,1617,160606.0,1.0068117006836605
292,Centro-esquerda,Sul,2019,2107,160606.0,1.311906155436285
392,Direita,Sul,2019,3183,160606.0,1.9818686724032726
492,Esquerda,Sul,2019,1920,160606.0,1.1954721492347733
97,Centro,Sul,2020,6138,160606.0,3.821775027084916
197,Centro-direita,Sul,2020,3177,160606.0,1.9781328219369139
293,Centro-esquerda,Sul,2020,3015,160606.0,1.8772648593452301
393,Direita,Sul,2020,7838,160606.0,4.880265992553205
493,Esquerda,Sul,2020,2928,160606.0,1.823095027583029
98,Centro,Sul,2021,12380,160606.0,7.708304795586715
198,Centro-direita,Sul,2021,3672,160606.0,2.286340485411504
294,Centro-esquerda,Sul,2021,5558,160606.0,3.4606428153369118
394,Direita,Sul,2021,13896,160606.0,8.652229680086672
494,Esquerda,Sul,2021,6542,160606.0,4.073322291819733
99,Centro,Sul,2022,4489,160606.0,2.7950387905806755
199,Centro-direita,Sul,2022,2127,160606.0,1.3243589903241473
295,Centro-esquerda,Sul,2022,1334,160606.0,0.8306040870204102
395,Direita,Sul,2022,2536,160606.0,1.5790194637809298
495,Esquerda,Sul,2022,2341,160606.0,1.457604323624273
