,posicionamento,Regiao,ano,voto_count,Total,voto_norm
311,Direita,Centro-Oeste,2018,293,83943.0,0.34904637670800426
411,Esquerda,Centro-Oeste,2018,509,83943.0,0.6063638421309698
16,Centro,Centro-Oeste,2019,1660,83943.0,1.9775323731579764
116,Centro-direita,Centro-Oeste,2019,1294,83943.0,1.5415222234135069
214,Centro-esquerda,Centro-Oeste,2019,796,83943.0,0.948262511466114
312,Direita,Centro-Oeste,2019,1338,83943.0,1.5939387441478146
412,Esquerda,Centro-Oeste,2019,879,83943.0,1.0471391301240127
17,Centro,Centro-Oeste,2020,3608,83943.0,4.29815470021324
117,Centro-direita,Centro-Oeste,2020,2728,83943.0,3.2498242855270836
215,Centro-esquerda,Centro-Oeste,2020,1203,83943.0,1.4331153282584612
313,Direita,Centro-Oeste,2020,3418,83943.0,4.071810633406002
413,Esquerda,Centro-Oeste,2020,1262,83943.0,1.5034011174249193
18,Centro,Centro-Oeste,2021,5138,83943.0,6.120820080292579
118,Centro-direita,Centro-Oeste,2021,3489,83943.0,4.15639183731818
216,Centro-esquerda,Centro-Oeste,2021,2351,83943.0,2.8007100055990377
314,Direita,Centro-Oeste,2021,7392,83943.0,8.80597548336371
414,Esquerda,Centro-Oeste,2021,2684,83943.0,3.1974077647927763
19,Centro,Centro-Oeste,2022,1787,83943.0,2.128825512550183
119,Centro-direita,Centro-Oeste,2022,1237,83943.0,1.4736190033713352
217,Centro-esquerda,Centro-Oeste,2022,657,83943.0,0.7826739573281869
315,Direita,Centro-Oeste,2022,1174,83943.0,1.3985680759563035
415,Esquerda,Centro-Oeste,2022,936,83943.0,1.1150423501661841
20,Centro,Nordeste,2003,786,289433.0,0.2715654400154785
120,Centro-direita,Nordeste,2003,717,289433.0,0.24772572581564645
218,Centro-esquerda,Nordeste,2003,251,289433.0,0.08672127919069353
316,Direita,Nordeste,2003,471,289433.0,0.1627319621466799
416,Esquerda,Nordeste,2003,538,289433.0,0.1858806701378212
21,Centro,Nordeste,2004,1860,289433.0,0.6426357740824301
121,Centro-direita,Nordeste,2004,1521,289433.0,0.525510221709342
219,Centro-esquerda,Nordeste,2004,643,289433.0,0.22215849609408742
317,Direita,Nordeste,2004,1338,289433.0,0.46228315361413524
417,Esquerda,Nordeste,2004,1200,289433.0,0.41460372521447103
22,Centro,Nordeste,2005,1361,289433.0,0.4702297250140793
122,Centro-direita,Nordeste,2005,1090,289433.0,0.37659838373647786
220,Centro-esquerda,Nordeste,2005,551,289433.0,0.19037221049431127
318,Direita,Nordeste,2005,802,289433.0,0.2770934896850048
418,Esquerda,Nordeste,2005,850,289433.0,0.29367763869358365
23,Centro,Nordeste,2006,1671,289433.0,0.5773356873611509
123,Centro-direita,Nordeste,2006,1652,289433.0,0.5707711283785885
221,Centro-esquerda,Nordeste,2006,819,289433.0,0.2829670424588765
319,Direita,Nordeste,2006,858,289433.0,0.2964416635283468
419,Esquerda,Nordeste,2006,907,289433.0,0.313371315641271
24,Centro,Nordeste,2007,981,289433.0,0.3389385453628301
124,Centro-direita,Nordeste,2007,1404,289433.0,0.4850863585009311
222,Centro-esquerda,Nordeste,2007,200,289433.0,0.0691006208690785
320,Direita,Nordeste,2007,1841,289433.0,0.6360712150998676
420,Esquerda,Nordeste,2007,1626,289433.0,0.5617880476656083
25,Centro,Nordeste,2008,589,289433.0,0.2035013284594362
125,Centro-direita,Nordeste,2008,1053,289433.0,0.3638147688756983
223,Centro-esquerda,Nordeste,2008,195,289433.0,0.06737310534735154
321,Direita,Nordeste,2008,2012,289433.0,0.6951522459429298
421,Esquerda,Nordeste,2008,1359,289433.0,0.46953871880538844
26,Centro,Nordeste,2009,1007,289433.0,0.3479216260758103
126,Centro-direita,Nordeste,2009,1790,289433.0,0.6184505567782527
224,Centro-esquerda,Nordeste,2009,882,289433.0,0.3047337380326362
322,Direita,Nordeste,2009,3195,289433.0,1.1038824183835292
